name_heb,recon,gender_heb,ctz_heb,occ,birth,death,pob,pod,viaf,wikidata_id
"שריג, יוסף",Josef Sarig,זכר,ישראל,מלחין,1944,1973,קיבוץ,רמת הגולן,56201511,Q2970189
"שץ, צבי",׳¦׳‘׳™ ׳©׳¥,זכר,,,1890,1921,האימפריה הרוסית,יפו,52105970,Q6807484
שמואל בן יוסף הנגיד,שמואל בן יוסף הנגיד,,,,1056,993,,,79078012,
"שטרן, אברהם",Avraham Stern,זכר,פולין,"משורר, סופר",1907,1942,סובאלק,תל אביב,,Q461846
"שולמאן, קלמן",Kalman Schulman,זכר,האימפריה הרוסית,"היסטוריון, מתרגם",1819,1899,ביחוב,וילנה,38566911,Q1722529
"שהם, מתתיהו",Matatiahu Szoham,זכר,פולין,"מחבר, סופר, מחזאי",1893,1937,ורשה,ורשה,9879781,Q1908866
"שבזי, שלום",Shalom Shabazi,זכר,תימן,"רב, משורר",1619,1686,,,62734261,Q2916129
רחל,Rachel Bluwstein,נקבה,,"משורר, סופר, מתרגם",1890,1931,סראטוב,תל אביב,19791688,Q241180
"רגלסון, אברהם",Abraham Regelson,זכר,ישראל,"בלשן, משורר, סופר, עיתונאי, סופר ילדים",1896,1981,בלארוס,,70455587,Q330530
"צרפתי, יוסף","צרפתי, יוסף",,,,,,,,,
"צוקרמנדל, שמשון","צוקרמנדל, שמשון",,,,,,,,308280977,
"פרישמן, דוד",David Frischmann,זכר,פולין,"סופר, מבקר ספרותי, מתרגם, עיתונאי, משורר",1859,1922,זגייז',ברלין,62919051,Q705482
"פרוג, שמעון שמואל",Simon Frug,זכר,האימפריה הרוסית,"משורר, סופר",1860,1916,,אודסה,287433140,Q1390527
"פוגל, דוד",David Vogel,זכר,אוסטריה,"סופר, משורר",1891,1944,Sataniv,אושוויץ,71416423,Q79071
עמנואל בן שלמה הרומי,עמנואל בן שלמה הרומי,,,,1265,1330,,,85429667,
"סנש, חנה",Hannah Szenes,נקבה,הונגריה,"סופר, משורר",1921,1944,בודפשט,בודפשט,5174643,Q236094
"סילמן, קדיש",׳§׳“׳™׳© ׳¡׳™׳�׳�׳�,זכר,,"משורר, מתרגם, עיתונאי, מחזאי",1880,1937,,,78674797,Q12410952
"סולודר, אברהם",Avraham Solodar,זכר,,"משורר, מתרגם, מחנך",1890,1936,,,298934670,Q6631385
"נגב, רחל",׳¨׳—׳� ׳ ׳’׳‘,נקבה,ישראל,משורר,1923,1982,,,11434359,Q6809826
משוררי ספרד ופרובאנס,משוררי ספרד ופרובאנס,,,,,,,,,
משוררי אלג'יריה,משוררי אלג'יריה,,,,,,,,,
"מר (מוהר), יחיאל","מר (מוהר), יחיאל",,,,1921,1969,,,39675674,
"מורפורגו, רחל",׳¨׳—׳� ׳�׳•׳¨׳₪׳•׳¨׳’׳•,נקבה,,משורר,1790,1871,,,17066028,Q16579983
"מולדר, שמואל ישראל",Samuel Israel Mulder,זכר,,מילונאי,1792,1862,,,34351031,Q7411791
"מאנה, מרדכי צבי",Mordecai Zvi Mane,זכר,האימפריה הרוסית,"אמן, סופר, משורר",1859,1886,רדשקוביצ'י,רדשקוביצ'י,29437284,Q6633218
"לרנר, יעקב",Jacob Lerner,זכר,,משורר,1880,1918,אוקראינה,אוקראינה,35420078,Q7063855
"לטריס, מאיר הלוי",Max Letteris,זכר,האימפריה האוסטרית,"מחבר, סופר, משורר, מתרגם",1800,1871,ז'ובקבה,וינה,3235628,Q1912967
"לוצאטו, שמואל דוד",Samuel David Luzzatto,זכר,האימפריה האוסטרית,"רב, משורר, פילולוג, מתרגם, מרצה באוניברסיטה, מתרגם תנ\ך",1800,1865,טריאסטה,פדובה,122277046,Q1391533
"לוצאטו, משה חיים",Moshe Chaim Luzzatto,זכר,,"פילוסוף, רב, מחזאי, אתיקאי, משורר",1707,1747,פדובה,עכו,73875381,Q982845
"לוצאטו, אפרים",׳�׳₪׳¨׳™׳� ׳�׳•׳¦׳�׳˜׳•,זכר,,משורר,1729,1792,איטליה,שווייץ,120789685,Q7058244
"לוין, אלתר",׳�׳�׳×׳¨ ׳�׳•׳™׳�,זכר,,משורר,1883,1933,,,7098465,Q12404017
"לבנזון, מיכה יוסף הכהן",Micah Joseph Lebensohn,זכר,האימפריה הרוסית,"משורר, מחבר, סופר, מתרגם",1828,1852,וילנה,וילנה,73714746,Q973591
"לבנזון, אברהם דב בר מיכלישוקר הכהן בן חיים","לבנזון, אברהם דב בר מיכלישוקר הכהן בן חיים",,,,,,,,,
"כהן, טוביה",Tobias Cohn,זכר,גרמניה,רופא,1652,1729,מץ,ירושלים,120788985,Q75280
יהודה הלוי,Judah Halevi,זכר,ממלכת נווארה,"משורר, רב, פילוסוף, סופר, cleric, מחבר",1075,1141,טודלה,ירושלים,56620997,Q299200
"טשרניחובסקי, שאול",Shaul Tchernichovsky,זכר,האימפריה הרוסית,"משורר, מתרגם, רופא, סופר",1875,1943,מיכאילובקה,ירושלים,12420180,Q521410
"טלר, צבי אלעזר","טלר, צבי אלעזר",זכר,,,1840,1914,,,66341117,Q12410809
"טביוב, ישראל חיים",Israel Chaim Tawiow,זכר,,"מחבר, סופר, מתרגם, עיתונאי",1858,1920,דרויה,ריגה,77234091,Q1674586
"חצקביץ', ישראל",׳™׳©׳¨׳�׳� ׳—׳¦׳§׳‘׳™׳¥',זכר,ישראל,"משורר, מתרגם",1897,1939,,,97168523,Q16132827
"זליגר, יוסף הלוי",׳™׳•׳¡׳£ ׳–׳�׳™׳’׳¨,זכר,,,1872,1919,,,308277927,Q12407993
"ז'בוטינסקי, זאב",Ze'ev Jabotinsky,זכר,האימפריה הרוסית,"משורר, נואם, פעיל חברתי, היסטוריון מקומי, תסריטאי, עיתונאי, סופר, קצין, מתרגם",1880,1940,אודסה,ניו יורק,90637373,Q319896
"דוליצקי, מנחם מנדל",Menahem Mendel Dolitzky,זכר,,"משורר, סופר",1856,1931,,,34363543,Q12409282
"גנסין, אורי ניסן",Uri Nissan Gnessin,זכר,פולין,"מחבר, משורר, סופר, מבקר ספרותי, מתרגם",1879,1913,סטארודוב,ורשה,79065991,Q514289
"גורדון, שמואל ליב","׀“׀¾ׁ€׀´׀¾׀½, ׀¨׀¼ׁƒׁ�׀»ׁ� ׀›׀µ׀¹׀±",זכר,,"משורר, מתרגם",1865,1933,לידא,תל אביב,24183460,Q4143909
"גורדון, יהודה ליב",Judah Leib Gordon,זכר,האימפריה הרוסית,"משורר, תסריטאי, מתרגם, סופר",1830,1892,וילנה,סנט פטרבורג,51697870,Q1376036
"גולדפאדן, אברהם",Abraham Goldfaden,זכר,האימפריה הרוסית,"מחזאי, לבריתן, סופר, משורר",1840,1908,סטרוקונסטנטינוב,ניו יורק,66613610,Q330024
"בסוק, משה",׳�׳©׳” ׳‘׳¡׳•׳§,זכר,ישראל,"משורר, עורך עיתון, מתרגם, עריכה ספרותית",1907,1966,,,44136499,Q7038156
"בנבנשת, וידאל",׳•׳™׳“׳�׳� ׳‘׳ ׳‘׳ ׳©׳×,זכר,,משורר,1380,1439,,,67522257,Q12407110
"בן-ציון, שמחה",Simcha Ben Zion,זכר,,"עיתונאי, משורר",1870,1932,טלנשטי,תל אביב,69347345,Q2905102
"ביאליק, חיים נחמן",Hayim Nahman Bialik,זכר,אוקראינה,"משורר, סופר, מתרגם",1873,1934,ווהלין,וינה,41958361,Q359705
"ארלוזורוב, חיים",Haim Arlosoroff,זכר,המנדט הבריטי,"פוליטיקאי, כלכלן, סופר",1899,1933,רומני,תל אביב,64806963,Q726510
"אפרת, ישראל",Israel Isaac Efros,זכר,ישראל,"משורר, מילונאי, רב",1891,1981,אוקראינה,ישראל,17593595,Q12408379
"אלחריזי, יהודה",Yehuda Alharizi,זכר,ספרד,"משורר, מתרגם",1170,1235,טולדו,חלב,88896884,Q1350978
"אלבלינגר, זאב",׳–׳�׳‘ ׳�׳�׳‘׳�׳™׳ ׳’׳¨,זכר,,"אגרונומיה, סופר, מתרגם", זאב,,ורשה,ישראל,50683270,Q28532615
"אימבר, נפתלי הרץ",Naftali Herz Imber,זכר,אוקראינה,"משורר, סופר",1856,1909,זלוטשוב,מנהטן,816021,Q359717
"אונגר, חיים יעקב","אונגר, חיים יעקב",,,,1826,1912,,,76202604,
"אבן עזרא, משה",Moses ibn Ezra,זכר,ספרד,"משורר, רב",1060,1139,גרנדה,,86836195,Q719393
"אבן עזרא, אברהם",Abraham ibn Ezra,זכר,אל-אנדלוס,"משורר, רב, סופר, מתרגם, פילוסוף, אסטרולוג",1092,1167,טודלה,קלהורה,90633023,Q270670
"אבן כלפון, יצחק",׳™׳¦׳—׳§ ׳�׳‘׳� ׳›׳�׳₪׳•׳�,זכר,,משורר,960,1020,,,44535366,Q7028939
"אבן גבירול, שלמה בן יהודה",Solomon ibn Gabirol,זכר,ספרד,"משורר, רב, פילוסוף, סופר",1021,1058,מאלגה,ולנסיה,100186412,Q239355
